marsh,habitat,site_id,variable,value
pas,iva,1,bare,0
pas,iva,2,bare,0
pas,iva,3,bare,0
pas,iva,4,bare,0
pas,iva,5,bare,0
bis,mp,1,bare,0
bis,mp,2,bare,4
bis,mp,3,bare,0
bis,mp,4,bare,36
bis,mp,5,bare,0
cogg,mp,1,bare,12
cogg,mp,10,bare,0
cogg,mp,23,bare,1
cogg,mp,28,bare,100
cogg,mp,58,bare,48
nag,mp,4,bare,16
nag,mp,21,bare,4
nag,mp,34,bare,4
nag,mp,45,bare,64
nag,mp,56,bare,16
pas,mp,1,bare,0
pas,mp,2,bare,0
pas,mp,3,bare,0
pas,mp,4,bare,0
pas,mp,5,bare,0
bis,vcb,1,bare,32
bis,vcb,2,bare,44
bis,vcb,3,bare,32
bis,vcb,4,bare,68
bis,vcb,5,bare,16
cogg,vcb,4,bare,16
cogg,vcb,46,bare,40
cogg,vcb,48,bare,28
cogg,vcb,75,bare,12
cogg,vcb,88,bare,40
nag,vcb,3,bare,16
nag,vcb,8,bare,12
nag,vcb,11,bare,0
nag,vcb,16,bare,20
nag,vcb,77,bare,12
pas,vcb,1,bare,32
pas,vcb,2,bare,12
pas,vcb,3,bare,0
pas,vcb,4,bare,8
pas,vcb,5,bare,32
cogg,bcb,6,height_spaalt,51.75
cogg,bcb,36,height_spaalt,62.56
pas,bcb,4,height_spaalt,57.67
pas,bcb,5,height_spaalt,47.33
bis,iva,1,height_spaalt,73.5
bis,iva,4,height_spaalt,68.5
cogg,mp,23,height_spaalt,21.83
cogg,mp,58,height_spaalt,17.5
nag,mp,4,height_spaalt,25.75
nag,mp,21,height_spaalt,31.25
nag,mp,45,height_spaalt,10.33
nag,mp,56,height_spaalt,31.09
bis,vcb,1,height_spaalt,97.58
bis,vcb,2,height_spaalt,79
bis,vcb,3,height_spaalt,94.83
bis,vcb,4,height_spaalt,45.17
bis,vcb,5,height_spaalt,104.58
cogg,vcb,4,height_spaalt,52
cogg,vcb,46,height_spaalt,78.08
cogg,vcb,48,height_spaalt,78
cogg,vcb,75,height_spaalt,100.92
cogg,vcb,88,height_spaalt,80.08
nag,vcb,3,height_spaalt,65.75
nag,vcb,8,height_spaalt,86.58
nag,vcb,11,height_spaalt,78.67
nag,vcb,16,height_spaalt,70.17
nag,vcb,77,height_spaalt,72.92
pas,vcb,1,height_spaalt,61.83
pas,vcb,2,height_spaalt,90.25
pas,vcb,3,height_spaalt,96.17
pas,vcb,4,height_spaalt,52.17
pas,vcb,5,height_spaalt,80.5
bis,bcb,1,elevation,-0.06449250000000016
bis,bcb,2,elevation,-0.08608250000000003
bis,bcb,3,elevation,-0.02131250000000011
bis,bcb,4,elevation,-0.0810025000000001
bis,bcb,5,elevation,-0.06893750000000022
cogg,bcb,6,elevation,0.05033000000000011
cogg,bcb,33,elevation,0.233
cogg,bcb,36,elevation,0.06033000000000009
cogg,bcb,55,elevation,0.3353300000000001
cogg,bcb,94,elevation,0.3440000000000001
nag,bcb,26,elevation,0.35316000000000003
nag,bcb,36,elevation,0.4210000000000001
nag,bcb,44,elevation,0.30800000000000005
nag,bcb,62,elevation,0.4122150000000001
nag,bcb,new,elevation,0.3353799999999999
pas,bcb,1,elevation,0.121
pas,bcb,2,elevation,0.158
pas,bcb,3,elevation,-0.13
pas,bcb,4,elevation,-0.189
pas,bcb,5,elevation,0.082
bis,iva,1,elevation,0.672265
bis,iva,2,elevation,0.702745
bis,iva,3,elevation,0.6657575
bis,iva,4,elevation,0.6301974999999999
bis,iva,5,elevation,0.6930624999999999
cogg,iva,14,elevation,0.8
cogg,iva,15,elevation,0.9583300000000001
cogg,iva,72,elevation,0.84533
cogg,iva,84,elevation,0.845
cogg,iva,90,elevation,0.922
nag,iva,1,elevation,0.8859999999999999
nag,iva,10,elevation,0.782
nag,iva,42,elevation,0.7849600000000001
nag,iva,48,elevation,0.8135349999999999
nag,iva,98,elevation,0.803375
pas,iva,1,elevation,0.881
pas,iva,2,elevation,0.915
pas,iva,3,elevation,0.9189999999999999
pas,iva,4,elevation,0.954
pas,iva,5,elevation,0.8230000000000001
bis,mp,1,elevation,0.39969249999999984
bis,mp,2,elevation,0.4181074999999999
bis,mp,3,elevation,0.6092424999999999
bis,mp,4,elevation,0.5825724999999998
bis,mp,5,elevation,0.5152624999999997
cogg,mp,1,elevation,0.557
cogg,mp,10,elevation,0.6653300000000001
cogg,mp,23,elevation,0.61633
cogg,mp,28,elevation,0.588
cogg,mp,58,elevation,0.6763300000000001
nag,mp,4,elevation,0.6522450000000001
nag,mp,21,elevation,0.6880000000000001
nag,mp,34,elevation,0.628
nag,mp,45,elevation,0.6535150000000001
nag,mp,56,elevation,0.643
pas,mp,1,elevation,0.773
pas,mp,2,elevation,0.867
pas,mp,3,elevation,0.8470000000000001
pas,mp,4,elevation,0.755
pas,mp,5,elevation,0.694
bis,vcb,1,elevation,0.2523724999999999
bis,vcb,2,elevation,0.2892024999999998
bis,vcb,3,elevation,0.2155424999999999
bis,vcb,4,elevation,0.22062249999999986
bis,vcb,5,elevation,0.32158749999999986
cogg,vcb,4,elevation,0.29700000000000004
cogg,vcb,46,elevation,-0.10099999999999994
cogg,vcb,48,elevation,0.1683300000000001
cogg,vcb,75,elevation,0.1883300000000001
cogg,vcb,88,elevation,0.20300000000000007
nag,vcb,3,elevation,0.603
nag,vcb,8,elevation,0.385545
nag,vcb,11,elevation,0.508735
nag,vcb,16,elevation,0.42600000000000005
nag,vcb,77,elevation,0.38046499999999994
pas,vcb,1,elevation,0.392
pas,vcb,2,elevation,0.43439999999999995
pas,vcb,3,elevation,-0.052000000000000005
pas,vcb,4,elevation,0.47800000000000004
pas,vcb,5,elevation,0.033
bis,bcb,1,bulk_density,0.9887935768030354
bis,bcb,2,bulk_density,0.45336807437897886
bis,bcb,3,bulk_density,0.3815235851072272
bis,bcb,4,bulk_density,0.4721920055253389
bis,bcb,5,bulk_density,0.2944828276759787
cogg,bcb,6,bulk_density,0.20863998374128317
cogg,bcb,33,bulk_density,0.2780975750215957
cogg,bcb,36,bulk_density,0.33973740139513664
cogg,bcb,55,bulk_density,0.18790163245288305
cogg,bcb,94,bulk_density,0.3793736279356255
nag,bcb,26,bulk_density,0.7227548039064168
nag,bcb,36,bulk_density,0.21019480354557693
nag,bcb,44,bulk_density,0.5750314848669511
nag,bcb,62,bulk_density,0.8240658105721674
nag,bcb,new,bulk_density,1.0002045190300757
pas,bcb,1,bulk_density,0.6325572201303131
pas,bcb,2,bulk_density,0.3075649020665771
pas,bcb,3,bulk_density,0.8432892080675991
pas,bcb,4,bulk_density,0.5140021281123645
pas,bcb,5,bulk_density,0.38384614913489506
bis,iva,1,bulk_density,0.2601320571223832
bis,iva,2,bulk_density,1.189988662098303
bis,iva,3,bulk_density,1.8347172873134827
bis,iva,4,bulk_density,0.5094109993988949
bis,iva,5,bulk_density,0.5698992225076152
cogg,iva,14,bulk_density,0.6396038603405588
cogg,iva,15,bulk_density,0.5630537350861544
cogg,iva,72,bulk_density,1.2555170353584475
cogg,iva,84,bulk_density,0.3849153834274072
cogg,iva,90,bulk_density,0.20667641700664563
nag,iva,1,bulk_density,0.5227658106679404
nag,iva,10,bulk_density,0.2313513870323613
nag,iva,42,bulk_density,1.999374198292195
nag,iva,48,bulk_density,0.13933744459774544
nag,iva,98,bulk_density,0.15393919457483016
pas,iva,1,bulk_density,0.1230715199558488
pas,iva,2,bulk_density,0.19365468666478006
pas,iva,3,bulk_density,0.17079329778361851
pas,iva,4,bulk_density,0.2935274239667273
pas,iva,5,bulk_density,0.2690081597486189
bis,mp,1,bulk_density,0.5469896745884412
bis,mp,2,bulk_density,1.0114008147916012
bis,mp,3,bulk_density,0.14263308283926837
bis,mp,4,bulk_density,0.2952367671374783
bis,mp,5,bulk_density,0.3478658596691835
cogg,mp,1,bulk_density,0.16774137101360515
cogg,mp,10,bulk_density,0.16730041989411368
cogg,mp,23,bulk_density,0.19394304454037414
cogg,mp,28,bulk_density,0.23186882595184558
cogg,mp,58,bulk_density,0.19148869836321122
nag,mp,4,bulk_density,0.1737318118076908
nag,mp,21,bulk_density,0.10277897298179496
nag,mp,34,bulk_density,0.14719835083424596
nag,mp,45,bulk_density,0.19874505181977728
nag,mp,56,bulk_density,0.12761894932397563
pas,mp,1,bulk_density,0.2253366920415225
pas,mp,2,bulk_density,0.20846137525315847
pas,mp,3,bulk_density,0.18099877884182786
pas,mp,4,bulk_density,0.26874983670803393
pas,mp,5,bulk_density,0.19289618172909
bis,vcb,2,bulk_density,0.45413374284517655
bis,vcb,3,bulk_density,0.4226387267252504
bis,vcb,4,bulk_density,0.399389234453606
bis,vcb,5,bulk_density,0.5169737697810536
cogg,vcb,4,bulk_density,0.4016106988561837
cogg,vcb,46,bulk_density,0.35534222904867035
cogg,vcb,48,bulk_density,0.3125531719958641
cogg,vcb,75,bulk_density,0.35465823908898575
cogg,vcb,88,bulk_density,0.3615078311653836
nag,vcb,3,bulk_density,0.3106672673574611
nag,vcb,8,bulk_density,0.19493909102143564
nag,vcb,11,bulk_density,1.5243386976800486
nag,vcb,16,bulk_density,0.34023357627607664
nag,vcb,77,bulk_density,0.22974436468958565
pas,vcb,1,bulk_density,0.3624371667936025
pas,vcb,2,bulk_density,0.28599048563942103
pas,vcb,3,bulk_density,0.4541268415184611
pas,vcb,4,bulk_density,0.43424807903402857
pas,vcb,5,bulk_density,0.353752839011356
bis,bcb,1,perc_moisture,0.362318511899632
bis,bcb,2,perc_moisture,0.6891385483675204
bis,bcb,3,perc_moisture,0.7498752796150566
bis,bcb,4,perc_moisture,0.6296015135943194
bis,bcb,5,perc_moisture,0.7417034236504936
cogg,bcb,6,perc_moisture,0.8082352009990591
cogg,bcb,33,perc_moisture,0.7679410908183217
cogg,bcb,36,perc_moisture,0.677642093991859
cogg,bcb,55,perc_moisture,0.806940252130682
cogg,bcb,94,perc_moisture,0.7307590426304591
nag,bcb,26,perc_moisture,0.5129443991630885
nag,bcb,36,perc_moisture,0.7401631676790641
nag,bcb,44,perc_moisture,0.440300146063447
nag,bcb,62,perc_moisture,0.5041267409220677
nag,bcb,new,perc_moisture,0.3509912252193695
pas,bcb,1,perc_moisture,0.7032957312631382
pas,bcb,2,perc_moisture,0.771075780330998
pas,bcb,3,perc_moisture,0.5829400293918156
pas,bcb,4,perc_moisture,0.6724396410910474
pas,bcb,5,perc_moisture,0.795162200556561
bis,iva,1,perc_moisture,0.8057512949676169
bis,iva,2,perc_moisture,0.251156065761757
bis,iva,3,perc_moisture,0.23261914432710537
bis,iva,4,perc_moisture,0.6648749114150856
bis,iva,5,perc_moisture,0.4880140968532532
cogg,iva,14,perc_moisture,0.6030282958716874
cogg,iva,15,perc_moisture,0.5121894947319849
cogg,iva,72,perc_moisture,0.21369815136120218
cogg,iva,84,perc_moisture,0.6779003186417396
cogg,iva,90,perc_moisture,0.8332017949353958
nag,iva,1,perc_moisture,0.6474817142698223
nag,iva,10,perc_moisture,0.8282745044178914
nag,iva,42,perc_moisture,0.19393163544895112
nag,iva,48,perc_moisture,0.810619273379351
nag,iva,98,perc_moisture,0.7947188015742034
pas,iva,1,perc_moisture,0.8205252987905246
pas,iva,2,perc_moisture,0.8096546074427459
pas,iva,3,perc_moisture,0.8469871004989186
pas,iva,4,perc_moisture,0.7846246504624651
pas,iva,5,perc_moisture,0.8187266556823924
bis,mp,1,perc_moisture,0.6502901242842644
bis,mp,2,perc_moisture,0.43275667071587165
bis,mp,3,perc_moisture,0.7847712618974516
bis,mp,4,perc_moisture,0.7870841828668622
bis,mp,5,perc_moisture,0.7687689844840326
cogg,mp,1,perc_moisture,0.8313757435683705
cogg,mp,10,perc_moisture,0.8144127209429456
cogg,mp,23,perc_moisture,0.8050195749440716
cogg,mp,28,perc_moisture,0.8201140644146258
cogg,mp,58,perc_moisture,0.8501338215665859
nag,mp,4,perc_moisture,0.8472210034223899
nag,mp,21,perc_moisture,0.8590156613824121
nag,mp,34,perc_moisture,0.8097466866060116
nag,mp,45,perc_moisture,0.8156376929325752
nag,mp,56,perc_moisture,0.8546474076683696
pas,mp,1,perc_moisture,0.8296588249784456
pas,mp,2,perc_moisture,0.8435107863604732
pas,mp,3,perc_moisture,0.8051031754622477
pas,mp,4,perc_moisture,0.7995932222023721
pas,mp,5,perc_moisture,0.811939897526434
bis,vcb,2,perc_moisture,0.688022435810167
bis,vcb,3,perc_moisture,0.7119191753926701
bis,vcb,4,perc_moisture,0.7389438209391791
bis,vcb,5,perc_moisture,0.7431854569037148
cogg,vcb,4,perc_moisture,0.73581077591613
cogg,vcb,46,perc_moisture,0.7076660097076852
cogg,vcb,48,perc_moisture,0.736451028287763
cogg,vcb,75,perc_moisture,0.7707276374634219
cogg,vcb,88,perc_moisture,0.7449171252512604
nag,vcb,3,perc_moisture,0.7596196919844911
nag,vcb,8,perc_moisture,0.8248814424710685
nag,vcb,11,perc_moisture,0.24952176642429572
nag,vcb,16,perc_moisture,0.7562165284423558
nag,vcb,77,perc_moisture,0.811676916637151
pas,vcb,1,perc_moisture,0.7467790842857731
pas,vcb,2,perc_moisture,0.8099476642260494
pas,vcb,3,perc_moisture,0.7749173489881044
pas,vcb,4,perc_moisture,0.7365623694107815
pas,vcb,5,perc_moisture,0.7737808664793732
bis,bcb,1,perc_organic,0.051361941179247556
bis,bcb,2,perc_organic,0.13690124186871674
bis,bcb,3,perc_organic,0.19754636785162286
bis,bcb,4,perc_organic,0.1460269865067465
bis,bcb,5,perc_organic,0.16311909459038518
cogg,bcb,6,perc_organic,0.3989572989076465
cogg,bcb,33,perc_organic,0.3088428234059303
cogg,bcb,36,perc_organic,0.24713621413179088
cogg,bcb,55,perc_organic,0.43736080178173714
cogg,bcb,94,perc_organic,0.267
nag,bcb,26,perc_organic,0.09096283159683734
nag,bcb,36,perc_organic,0.28578013367135274
